 Message (if any),رسالة (اختياري)
"If you are updating, please select ""Overwrite"" else existing rows will not be deleted.","إذا كنت تقوم بتحديث، يرجى تحديد ""الكتابة"" لن يتم حذف الصفوف الموجودة آخر."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.","إذا كنت تحميل سجلات جديدة، ""تسمية السلسلة"" تصبح إلزامية، إذا كان موجودا."
"If you are uploading new records, leave the ""name"" (ID) column blank.","إذا كنت تحميل سجلات جديدة، وترك ""اسم"" (ID) العمود فارغا."
"If you are using loans in salary slips, please install the {0} app from Frappe Cloud Marketplace or GitHub to continue using loan integration with payroll.",إذا كنت تستخدم القروض في كشوف المرتبات، يرجى تثبيت تطبيق {0} من سوق Frappe Cloud أو GitHub لمواصلة استخدام تكامل القروض مع الرواتب.
"If you have any questions, please get back to us.",إذا كان لديك أي أسئلة، يرجى أن تعود الينا.
"If you have any questions, reach out to your system administrator.","If you have any questions, reach out to your system administrator."
"If you have any questions, reach out to your system administrator.","If you have any questions, reach out to your system administrator."
"If you have created a standard template in Sales Taxes and Charges Template, select one and click on the button below.",إذا قمت بإنشاء نمودج قياسي ل (نموذج ضرائب المبيعات والرسوم)، اختر واحدا وانقر على الزر أدناه.
If you have recently restored the site you may need to copy the site config contaning original Encryption Key.,If you have recently restored the site you may need to copy the site config contaning original Encryption Key.
If you have recently restored the site you may need to copy the site config contaning original Encryption Key.,If you have recently restored the site you may need to copy the site config contaning original Encryption Key.
"If you have recently restored the site, you may need to copy the site_config.json containing the original encryption key.",إذا قمت مؤخرًا باستعادة الموقع، فقد تحتاج إلى نسخ ملف site_config.json الذي يحتوي على مفتاح التشفير الأصلي.
"If you just want to customize for your site, use {0} instead.","If you just want to customize for your site, use {0} instead."
"If you just want to customize for your site, use {0} instead.","If you just want to customize for your site, use {0} instead."
"If you need to reconcile particular transactions against each other, then please select accordingly. If not, all the transactions will be allocated in FIFO order.",إذا كنت بحاجة إلى تسوية معاملات معينة مقابل بعضها البعض، فيرجى التحديد وفقًا لذلك. إذا لم يكن الأمر كذلك، فسيتم تخصيص جميع المعاملات بترتيب FIFO.
"If you set this, this Item will come in a drop-down under the selected parent.",إذا قمت بتعيين هذا ، فإن هذا البند تأتي في قائمة منسدلة تحت الأصل المحدد .
"If you still want to proceed, please disable 'Skip Available Sub Assembly Items' checkbox.",إذا كنت لا تزال ترغب في المتابعة، فيرجى إلغاء تحديد مربع الاختيار 'تخطي أصناف التجميع الفرعية المتاحة'.
"If you still want to proceed, please enable {0}.",إذا كنت لا تزال تريد المتابعة ، فيرجى تمكين {0}.
"If you think this is unauthorized, please change the Administrator password.",إذا كنت تعتقد أن هذا غير المصرح به، الرجاء تغيير كلمة مرور المسؤول.
"If you want to send SMS alert on Patient Registration, you can enable this option. Similary, you can set up Out Patient SMS alerts for other functionalities in this section. Click",إذا كنت تريد إرسال تنبيه عبر الرسائل القصيرة على تسجيل المريض ، فيمكنك تمكين هذا الخيار. وبالمثل ، يمكنك إعداد تنبيهات الرسائل القصيرة للمرضى الخارجيين للوظائف الأخرى في هذا القسم. انقر
"If you want to track Payroll and other HRMS operations for a Practitoner, create an Employee and link it here.",إذا كنت ترغب في تتبع كشوف المرتبات وعمليات HRMS الأخرى لممارس ، فأنشئ موظفًا واربطه هنا.
"If you wish to override default accounts settings and configure the Income and Receivable accounts for Healthcare, you can do so here.",إذا كنت ترغب في تجاوز إعدادات الحسابات الافتراضية وتكوين حسابات الدخل والمدينين للرعاية الصحية ، يمكنك القيام بذلك هنا.
"If your CSV uses a different delimiter, add that character here, ensuring no spaces or additional characters are included.",إذا كان ملف CSV الخاص بك يستخدم محددًا مختلفًا، فأضف هذا الحرف هنا، مع التأكد من عدم تضمين أي مسافات أو أحرف إضافية.
"If your data is in HTML, please copy paste the exact HTML code with the tags.",إذا كانت البيانات في HTML، يرجى نسخ لصق رمز HTML المحدد مع العلامات.
"If your Healthcare facility bills registrations of Patients, you can check this and set the Registration Fee in the field below. Checking this will create new Patients with a Disabled status by default and will only be enabled after invoicing the Registration Fee.",إذا كانت منشأة الرعاية الصحية الخاصة بك تقوم بفواتير تسجيلات المرضى ، فيمكنك التحقق من ذلك وتعيين رسوم التسجيل في الحقل أدناه. سيؤدي التحقق من ذلك إلى إنشاء مرضى جدد بحالة &quot;معطل&quot; بشكل افتراضي ولن يتم تمكينهم إلا بعد فوترة رسوم التسجيل.
IFSC,IFSC
IFSC Code,رمز IFSC
Ignore,تجاهل
Ignore Account Closing Balance,تجاهل رصيد إقفال الحساب
Ignore attachments over this size,تجاهل إرفاق ملفات أكثر من هذا الحجم
Ignore Available Stock,Ignore Available Stock
Ignore Available Stock,Ignore Available Stock
Ignore Closing Balance,تجاهل رصيد الإقفال
Ignore Default Payment Terms Template,تجاهل قالب شروط الدفع الافتراضي
Ignore Employee Time Overlap,تجاهل تداخل وقت الموظف
Ignore Empty Stock,تجاهل المخزون الفارغ
Ignore Exchange Rate Revaluation and Gain / Loss Journals,Ignore Exchange Rate Revaluation and Gain / Loss Journals
Ignore Exchange Rate Revaluation and Gain / Loss Journals,Ignore Exchange Rate Revaluation and Gain / Loss Journals
Ignore Exchange Rate Revaluation Journals,تجاهل قيود إعادة تقييم سعر الصرف
Ignore Existing Ordered Qty,تجاهل الكمية الموجودة المطلوبة
Ignore Existing Projected Quantity,تجاهل الكمية الموجودة المتوقعة
Ignore holidays,تجاهل العطلات
Ignore Is Opening check for reporting,"تجاهل التحقق من ""هل هو افتتاح"" للتقارير"
Ignore Pricing Rule,تجاهل (قاعدة التسعير)
Ignore Pricing Rule is enabled. Cannot apply coupon code.,تم تمكين تجاهل قاعدة التسعير. لا يمكن تطبيق رمز القسيمة.
Ignore System Generated Credit / Debit Notes,تجاهل إشعارات الدائن / المدين التي تم إنشاؤها بواسطة النظام
Ignore User Permissions,تجاهل صلاحيات المستخدم
Ignore User Time Overlap,تجاهل تداخل وقت المستخدم
Ignore Voucher Type filter and Select Vouchers Manually,تجاهل مرشح نوع الإيصال وحدد الإيصالات يدويًا
Ignore Workstation Time Overlap,تجاهل تداخل وقت محطة العمل
Ignore XSS Filter,تجاهل معيار التصفية XXS
Ignored Apps,التطبيقات التي تم تجاهلها
Ignores legacy Is Opening field in GL Entry that allows adding opening balance post the system is in use while generating reports,"يتجاهل حقل ""هل هو افتتاح"" القديم في قيد دفتر الأستاذ العام الذي يسمح بإضافة رصيد افتتاحي بعد استخدام النظام أثناء إنشاء التقارير"
IGST Account,حساب إيغست
IGST Amount,كمية IGST
II,II
III,III
Illegal Access Token. Please try again,وصول رمز غير قانوني. حاول مرة اخرى
Illegal Document Status for {0},حالة المستند غير القانوني لـ {0}
Illegal SQL Query,استعلام SQL غير قانوني
Illegal template,قالب غير قانوني
Image,صورة
image,صورة
Image Description,وصف الصورة
Image Field,صورة الميدان
Image field must be a valid fieldname,يجب أن يكون حقل الصورة اسم حقل صالحا
Image field must be of type Attach Image,يجب أن يكون حقل الصورة من النوع إرفاق صورة
Image Height,ارتفاع الصورة
Image Link,رابط الصورة
Image link '{0}' is not valid,رابط الصورة '{0}' غير صالح
Image List,قائمة الصور
Image optimized,تم تحسين الصورة
Image View,عرض الصورة
Image Width,عرض الصورة
Image: Corrupted Data Stream,الصورة: تدفق بيانات تالف
Images,صور
IMAP Details,تفاصيل IMAP
IMAP Folder,مجلد IMAP
Impairment,انخفاض القيمة
Impersonate,الدخول بإسم
Impersonate as {0},الدخول كـ {0}
Impersonated by {0},تم الدخول بواسطة {0}
Impersonating {0},يتم الدخول كـ {0}
Implement `clear_old_logs` method to enable auto error clearing.,قم بتنفيذ طريقة `clear_old_logs` لتمكين مسح الأخطاء التلقائي.
Implementation Partner,شريك التنفيذ
Implicit,ضمني
import,استيراد
Import,استيراد
Import Attendance,سجل الحضور
Import Chart of Accounts from a csv file,استيراد مخطط الحسابات من ملف CSV
Import Chart of Accounts from CSV / Excel files,استيراد مخطط الحسابات من ملفات CSV / Excel
Import completed. {0} common codes created.,اكتمل الاستيراد. تم إنشاء {0} رمزًا مشتركًا.
Import Data,بيانات الاستيراد
Import Data from CSV / Excel files.,استيراد البيانات من ملفات CSV / Excel.
Import Day Book Data,استيراد بيانات دفتر اليوم
Import Delivery Notes from Shopify on Shipment,ملاحظات التسليم التسليم من Shopify على الشحن
Import Email From,استيراد البريد الإلكتروني من
Import File,استيراد ملف
Import File Errors and Warnings,استيراد ملف الأخطاء والتحذيرات
Import from Google Sheets,استيراد من جداول بيانات Google
Import Genericode File,استيراد ملف Genericode
Import in Bulk,استيراد بكميات كبيرة
Import Invoices,استيراد الفواتير
Import Italian Supplier Invoice.,فاتورة استيراد المورد الإيطالي.
Import Log,سجل الاستيراد
Import Log Preview,استيراد سجل معاينة
Import Master Data,استيراد البيانات الرئيسية
Import Of Capital Goods,استيراد السلع الرأسمالية
Import of goods,استيراد البضائع
Import Of Service,استيراد الخدمة
Import of services,استيراد الخدمات
Import Preview,استيراد معاينة
Import Progress,استيراد التقدم
Import Sales Invoice from Shopify if Payment is marked,فاتورة مبيعات الاستيراد من Shopify إذا تم وضع علامة على الدفع
Import Subscribers,المشتركون استيراد
Import Successful,استيراد ناجح
Import Supplier Invoice,استيراد فاتورة المورد
"Import template should be of type .csv, .xlsx or .xls",يجب أن يكون قالب الاستيراد من النوع .csv أو .xlsx أو .xls
Import template should contain a Header and atleast one row.,يجب أن يحتوي قالب الاستيراد على رأس صف واحد على الأقل.
"Import timed out, please re-try.",انتهت مهلة الاستيراد، يرجى المحاولة مرة أخرى.
Import Type,نوع الاستيراد
Import Using CSV file,استيراد باستخدام ملف CSV
Import Warnings,استيراد تحذيرات
Import Zip,استيراد الرمز البريدي
Importing {0} is not allowed.,استيراد {0} غير مسموح به.
Importing {0} of {1},استيراد {0} من {1}
"Importing {0} of {1}, {2}",استيراد {0} من {1} ، {2}
Importing Common Codes,جارٍ استيراد الرموز المشتركة
Importing Items and UOMs,استيراد العناصر و UOMs
Importing Parties and Addresses,استيراد الأطراف والعناوين
In,في
IN,في
in {0} warehouses,في {0} مستودعات
in 1 warehouse,في مستودع واحد
"In case of any error during this background process, the system will add a comment about the error on this Payroll Entry and revert to the Submitted status",في حالة حدوث أي خطأ أثناء هذه العملية في الخلفية، سيضيف النظام تعليقًا حول الخطأ في إدخال الرواتب هذا ويعود إلى حالة الإرسال
In Days,في الايام
In Filter,في تصفية
In Global Search,في البحث العالمية
In Grid View,في شبكة عرض
In House,داخلي
In List Filter,في قائمة التصفية
In List View,في عرض القائمة
In Maintenance,في الصيانة
In Mins,في دقائق
In mins,بالدقائق
in Minutes,في دقائق
In Minutes,بالدقائق
In minutes,في دقائق
in minutes,في دقائق
in Minutes\nUpdated via 'Time Log',"في دقائق \n تحديث عبر 'وقت دخول """
In Party Currency,بعملة الطرف
In Percentage,في المئة
In points. Default is 9.,في نقطة. الافتراضي هو 9.
In Preview,في المعاينة
In print,في الطباعة
In Process,في عملية
In Production,في الانتاج
In Progress,في تَقَدم
In Qty,كمية قادمة
In Read Only Mode,في وضع القراءة فقط
In Reply To,ردا على
"In row {0} of Appointment Booking Slots: ""To Time"" must be later than ""From Time"".","في الصف {0} من خانات حجز المواعيد: يجب أن يكون ""وقت الانتهاء"" بعد ""وقت البدء""."
In seconds,في ثوان
In Standard Filter,في التصفية الرئيسية
In Stock,متوفر
In stock,في المخزن
In Stock Qty,في سوق الأسهم الكمية
In Stock:,متوفر:
"In the case of multi-tier program, Customers will be auto assigned to the concerned tier as per their spent",في حالة البرنامج متعدد المستويات ، سيتم تعيين العملاء تلقائيًا إلى الطبقة المعنية وفقًا للإنفاق
"In this section, you can define Company-wide transaction-related defaults for this Item. Eg. Default Warehouse, Default Price List, Supplier, etc.",في هذا القسم، يمكنك تحديد الإعدادات الافتراضية المتعلقة بالمعاملات على مستوى الشركة لهذا الصنف. مثال: المستودع الافتراضي، قائمة الأسعار الافتراضية، المورد، إلخ.
In Time,في الوقت المناسب
In Transit,في مرحلة انتقالية
In Transit Transfer,نقل قيد العبور
In Transit Warehouse,مستودع قيد العبور
In Value,القيمة القادمة
In Words,في كلمات
In Words (Company Currency),في الأحرف ( عملة الشركة )
In Words (Export) will be visible once you save the Delivery Note.,بالحروف (تصدير) سوف تكون مرئية بمجرد حفظ اشعار التسليم.
In Words will be visible once you save the Delivery Note.,بالحروف سوف تكون مرئية بمجرد حفظ اشعارالتسليم.
In Words will be visible once you save the Purchase Order.,وبعبارة تكون مرئية بمجرد حفظ أمر الشراء.
In Words will be visible once you save the Quotation.,وبعبارة تكون مرئية بمجرد حفظ اقتباس.
In Words will be visible once you save the Sales Invoice.,وبعبارة تكون مرئية بمجرد حفظ فاتورة المبيعات.
In Words will be visible once you save the Sales Order.,وبعبارة تكون مرئية بمجرد حفظ ترتيب المبيعات.
"In your **Email Template**, you can use the following special variables:  * `{{ update_password_link }}`: A link where your supplier can set a new password to log into your portal. * `{{ portal_link }}`: A link to this RFQ in your supplier portal. * `{{ supplier_name }}`: The company name of your supplier. * `{{ contact.salutation }} {{ contact.last_name }}`: The contact person of your supplier. * `{{ user_fullname }}`: Your full name.  Apart from these, you can access all values in this RFQ, like `{{ message_for_supplier }}` or `{{ terms }}`.","In your **Email Template**, you can use the following special variables:  * `{{ update_password_link }}`: A link where your supplier can set a new password to log into your portal. * `{{ portal_link }}`: A link to this RFQ in your supplier portal. * `{{ supplier_name }}`: The company name of your supplier. * `{{ contact.salutation }} {{ contact.last_name }}`: The contact person of your supplier. * `{{ user_fullname }}`: Your full name.  Apart from these, you can access all values in this RFQ, like `{{ message_for_supplier }}` or `{{ terms }}`."
Inactive,غير نشط
Inactive Customers,العملاء الغير النشطين
Inactive Sales Items,عناصر المبيعات غير النشطة
Inactive Status,الحالة غير النشطة
inbox,صندوق الوارد
Inbox,صندوق الوارد
inbox,صندوق الوارد
Inbox User,مسؤل علبة الوارد
Inbox View,عرض البريد الوارد
Incentive,حافز
Incentive Amount,مبلغ الحافز
Incentives,الحوافز
Inch,بوصة
Inch Pound-Force,بوصة رطل-قوة
Inch/Minute,بوصة/دقيقة
Inch/Second,بوصة/ثانية
Inches Of Mercury,بوصة زئبق
Include Account Currency,تضمين عملة الحساب
Include Ageing Summary,قم بتضمين ملخص الشيخوخة
Include All Assessment Group,تشمل جميع مجموعة التقييم
Include Barcode,تضمين الباركود
Include Closed Orders,تضمين الطلبات المغلقة
Include Company Descendants,تضمين فروع الشركة
Include Default FB Assets,تضمين أصول الدفتر المالي الافتراضي
Include Default FB Entries,تضمين إدخالات دفتر افتراضي
Include Disabled,تضمين المعطل
Include Expired,تشمل منتهية الصلاحية
Include Expired Batches,تضمين الدفعات منتهية الصلاحية
Include Exploded Items,تشمل البنود المستبعدة
Include filters,تضمين عوامل التصفية
Include Holidays,تضمين العطلات
Include holidays in Total no. of Working Days,العطلات تحسب من ضمن أيام العمل
Include holidays within leaves as leaves,ايام العطل التي ضمن الإجازات تحسب إجازة
Include in gross,تدرج في الإجمالي
Include indentation,تشمل المسافة البادئة
Include Item In Manufacturing,تشمل البند في التصنيع
Include Logo,تضمين الشعار
Include Name Field,تضمين حقل الاسم
Include Non Stock Items,تشمل الاصناف الغير مخزنية
Include Payment,يشمل الدفع
Include Payment (POS),تشمل الدفع (POS)
Include POS Transactions,تشمل معاملات نقطه البيع
Include QR Code,تضمين رمز QR
Include Reconciled Entries,تضمن القيود التي تم تسويتها
Include Returned Invoices (Stand-alone),Include Returned Invoices (Stand-alone)
Include Returned Invoices (Stand-alone),Include Returned Invoices (Stand-alone)
Include Safety Stock in Required Qty Calculation,تضمين مخزون الأمان في حساب الكمية المطلوبة
Include Search in Top Bar,اضافة البحث في الشريط العلوي
Include Sub-assembly Raw Materials,قم بتضمين المواد الخام التجميعية الفرعية
Include Subcontracted Items,تضمين العناصر من الباطن
"Include symbols, numbers and capital letters in the password",تضمين الرموز والأرقام والأحرف الكبيرة في كلمة المرور
Include Theme from Apps,تضمين سمة من التطبيقات
Include Timesheets in Draft Status,تضمين جداول الدوام في حالة المسودة
Include UOM,تضمين UOM
Include Web View Link in Email,إرسال ارتباط عرض الويب للمستند بالبريد الإلكتروني
Include Zero Stock Items,تضمين أصناف المخزون الصفري
Included Fee,Included Fee
Included Fee,Included Fee
Included fee is bigger than the withdrawal itself.,Included fee is bigger than the withdrawal itself.
Included fee is bigger than the withdrawal itself.,Included fee is bigger than the withdrawal itself.
Included in Gross Profit,المدرجة في الربح الإجمالي
Including items for sub assemblies,بما في ذلك السلع للمجموعات الفرعية
Income,الإيرادات
Income Account,حساب الدخل
Income from Other Sources,دخل من مصادر أخرى
Income Source,مصدر الدخل
Income Tax,ضريبة الدخل
Income Tax Amount,مبلغ ضريبة الدخل
Income Tax Breakup,تفاصيل ضريبة الدخل
Income Tax Component,مكون ضريبة الدخل
Income Tax Computation,حساب ضريبة الدخل
Income Tax Deducted Till Date,ضريبة الدخل المخصومة حتى تاريخه
Income Tax Deductions,استقطاعات ضريبة الدخل
Income Tax Slab,لوح ضريبة الدخل
Income Tax Slab is mandatory since the Salary Structure {0} has a tax component {1},شريحة ضريبة الدخل إلزامية لأن هيكل الرواتب {0} يحتوي على مكون ضريبي {1}
Income Tax Slab must be effective on or before Payroll Period Start Date: {0},يجب أن يكون لوح ضريبة الدخل ساريًا في أو قبل تاريخ بدء فترة الرواتب: {0}
Income Tax Slab not set in Salary Structure Assignment: {0},لم يتم تعيين لوح ضريبة الدخل في تعيين هيكل الرواتب: {0}
Income Tax Slab Other Charges,لوحة ضريبة الدخل رسوم أخرى
Income Tax Slab: {0} is disabled,شريحة ضريبة الدخل: {0} معطل
Incoming,الوارد
Incoming (POP/IMAP) Settings,إعدادات الوارد (POP/IMAP)
Incoming call from {0},مكالمة واردة من {0}
Incoming Call Handling Schedule,جدول معالجة المكالمات الواردة
Incoming Call Settings,إعدادات المكالمات الواردة
Incoming email account not correct,حساب البريد الإلكتروني الوارد غير صحيح
Incoming Emails (Last 7 days),رسائل البريد الإلكتروني الواردة (آخر 7 أيام)
Incoming Rate,معدل الواردة
Incoming Rate (Costing),سعر الدخول (التكلفة)
Incoming Server,خادم البريد الوارد
Incoming Settings,إعدادات الوارد
Incompatible Setting Detected,تم اكتشاف إعداد غير متوافق
Incomplete login details,تفاصيل تسجيل الدخول غير مكتملة
Incomplete Virtual Doctype Implementation,تطبيق نوع المستند الافتراضي غير مكتمل
Incorrect Balance Qty After Transaction,كمية الرصيد غير الصحيحة بعد المعاملة
Incorrect Batch Consumed,الدفعة المستهلكة غير صحيحة
Incorrect Check in (group) Warehouse for Reorder,فحص غير صحيح في مستودع (المجموعة) لإعادة الطلب
Incorrect Component Quantity,كمية المكون غير صحيحة
Incorrect Configuration,التكوين غير الصحيح
Incorrect Date,تاريخ غير صحيح
Incorrect Invoice,فاتورة غير صحيحة
Incorrect Movement Purpose,غرض الحركة غير صحيح
Incorrect number of General Ledger Entries found. You might have selected a wrong Account in the transaction.,تم العثور على عدد غير صحيح من إدخالات دفتر الأستاذ العام. ربما تكون قد حددت حسابا خاطئا في المعاملة.
Incorrect Payment Type,نوع الدفع غير صحيح
Incorrect Reference Document (Purchase Receipt Item),مستند مرجعي غير صحيح (صنف إيصال الشراء)
Incorrect Serial and Batch Bundle,حزمة الرقم التسلسلي والدفعة غير صحيحة
Incorrect Serial No Valuation,تقييم رقم تسلسلي غير صحيح
Incorrect Serial Number Consumed,الرقم التسلسلي المستهلك غير صحيح
Incorrect Stock Value Report,تقرير قيمة المخزون غير الصحيحة
Incorrect Type of Transaction,نوع المعاملة غير صحيح
Incorrect URL,URL غير صحيح
Incorrect User or Password,مستخدم غير صحيح أو كلمة مرور
Incorrect value in row {0}:,قيمة غير صحيحة في الصف {0}:
Incorrect value:,قيمة غير صحيحة:
Incorrect Verification code,رمز التحقق غير صحيح
Incorrect Warehouse,مستودع غير صحيح
Incorrect Weightage Allocation,تخصيص ترجيح غير صحيح
Incoterm,مصطلح التجارة الدولية
Increase In Asset Life (Months),الزيادة في عمر الأصل (بالأشهر)
Increase In Asset Life(Months),الزيادة في عمر الأصل (بالأشهر)
Increase quantity,زيادة الكمية
Increment,الزيادة
Increment cannot be 0,لا يمكن أن تكون الزيادة 0\n<br>\nIncrement cannot be 0
Increment for Attribute {0} cannot be 0,الاضافة للخاصية {0} لا يمكن أن تكون 0
Indent,مسافة بادئة
indent-left,المسافة البادئة اليسرى
indent-left,المسافة البادئة اليسرى
indent-right,المسافة البادئة اليمنى
indent-right,المسافة البادئة اليمنى
Index,مؤشر
Index created successfully on column {0} of doctype {1},تم إنشاء الفهرس بنجاح على العمود {0} من نوع المستند {1}
Index Web Pages for Search,فهرس صفحات الويب للبحث
Indexing authorization code,رمز تفويض الفهرسة
Indexing refresh token,رمز تحديث الفهرسة
Indicates that the package is a part of this delivery (Only Draft),يشير إلى أن الحزمة هو جزء من هذا التسليم (مشروع فقط)
"Indicates the number of leaves that cannot be encashed from the leave balance. E.g. with a leave balance of 10 and 4 Non-Encashable Leaves, you can encash 6, while the remaining 4 can be carried forward or expired",يشير إلى عدد الإجازات التي لا يمكن صرفها من رصيد الإجازات. على سبيل المثال، مع رصيد إجازات يبلغ 10 و 4 إجازات غير قابلة للصرف، يمكنك صرف 6، بينما يمكن ترحيل الـ 4 المتبقية أو انتهاء صلاحيتها
Indicator,مؤشر
Indicator Color,لون المؤشر
Indicator color,لون المؤشر
Indirect Expense,مصروف غير مباشر
Indirect Expenses,نفقات غير مباشرة
Indirect Income,دخل غير مباشرة
Individual,فرد
Individual GL Entry cannot be cancelled.,لا يمكن إلغاء قيد دفتر الأستاذ العام الفردي.
Individual Stock Ledger Entry cannot be cancelled.,لا يمكن إلغاء قيد دفتر أستاذ المخزون الفردي.
Industry,صناعة
Industry Type,نوع صناعة
Ineligible,غير مؤهل
Ineligible ITC,غير مؤهل ITC
Info,معلومات
info-sign,معلومات تسجيل الدخول،
info-sign,معلومات تسجيل الدخول،
Info:,معلومات:
Information,معلومات
"Information to help easily interpret the test report, will be printed as part of the Lab Test result.",ستتم طباعة المعلومات التي تساعد في تفسير تقرير الاختبار بسهولة كجزء من نتيجة الاختبار المعملي.
Initial Email Notification Sent,تم إرسال إشعار البريد الإلكتروني المبدئي
Initial Sync Count,عدد مزامنة الأولي
Initialize Summary Table,تهيئة جدول الملخص
Initiated,بدأت
Initiator Name,اسم البادئ
InnoDB,InnoDB
Inpatient Medication Entry,إدخال الأدوية للمرضى الداخليين
Inpatient Medication Entry Detail,تفاصيل إدخال الأدوية للمرضى الداخليين
Inpatient Medication Order,طلب الأدوية للمرضى الداخليين
Inpatient Medication Order Entry,إدخال طلب الأدوية للمرضى الداخليين
Inpatient Medication Orders,طلبات الأدوية للمرضى الداخليين
Inpatient Medication Orders updated successfully,تم تحديث طلبات الأدوية للمرضى الداخليين بنجاح
Inpatient Occupancy,إشغال المرضى الداخليين
Inpatient Record,سجل المرضى الداخليين
Inpatient Status,حالة المرضى الداخليين
Inpatient Visit Charge,رسوم زيارة المرضى الداخليين
Inpatient Visit Charge Item,عنصر زيارة زيارة المرضى الداخليين
Input existing role name if you would like to extend it with access of another role.,أدخل اسم دور موجود إذا كنت ترغب في توسيعه بصلاحيات دور آخر.
Input Service Distributor,موزع خدمة الإدخال
INR,INR
Insert,إدراج
Insert Above,إدراج لأعلى
Insert After,إدراج بعد
Insert After cannot be set as {0},الإدراج بعد لا يمكن تعيينه ك {0}
"Insert After field '{0}' mentioned in Custom Field '{1}', with label '{2}', does not exist",إدراج بعد الحقل '{0}' المذكورة في الحقل المخصص '{1}'، مع التصنيف '{2}'، غير موجود
Insert Below,إدراج لأسفل
Insert Column Before {0},إدراج عمود قبل {0}
Insert Image in Markdown,إدراج صورة في ماركداون
Insert New Records,أدخل سجلات جديدة
Insert Style,إدراج نمط
Inspected By,تفتيش من قبل
Inspection,فحص
Inspection Criteria,معايير التفتيش
Inspection Rejected,تم رفض الفحص
Inspection Required,التفتيش مطلوب
Inspection Required before Delivery,التفتيش المطلوبة قبل تسليم
Inspection Required before Purchase,التفتيش المطلوبة قبل الشراء
Inspection Submission,تقديم الفحص
Inspection Type,نوع التفتيش
Instagram,إنستغرام
Instagram,إنستغرام
Install,تثبيت
Install {0} from Marketplace,تثبيت {0} من السوق
Install Frappe HR,تثبيت Frappe HR
Install POSNext,تثبيت POSNext
Installation Date,تثبيت تاريخ
Installation date cannot be before delivery date for Item {0},تاريخ التركيب لا يمكن أن يكون قبل تاريخ التسليم للبند {0}
Installation Note,ملاحظة التثبيت
Installation Note {0} has already been submitted,مذكرة التسليم {0} ارسلت\n<br>\nInstallation Note {0} has already been submitted
Installation Note Item,ملاحظة تثبيت الإغلاق
Installation Status,حالة التركيب
Installation Time,تثبيت الزمن
Installed Application,التطبيق المثبت
Installed Applications,التطبيقات المثبتة
Installed Apps,التطبيقات المثبتة
Installed Qty,الكميات الثابتة
Installing presets,تثبيت الإعدادات المسبقة
Institute Abbreviation,اختصار المؤسسة
Institute Name,اسم المؤسسة
Institute's Bus,حافلة المعهد
Institution,مؤسسة
Instruction,التعليمات
Instructions,تعليمات
Instructions Emailed,تم إرسال التعليمات بالبريد الإلكتروني
Instructions to be printed on the worksheet,التعليمات المطلوب طباعتها على ورقة العمل
Instructor,المحاضر
Instructor Log,سجل المعلم
Instructor Name,اسم المحاضر
Instructor Records to be created by,سجلات المعلم ليتم إنشاؤها من قبل
Instructors,المحاضرون
Insufficient attachment limit,حد المرفقات غير كافٍ
Insufficient Balance,رصيد غير كافٍ
Insufficient Capacity,سعة غير كافية
Insufficient Data,البيانات غير كافية
Insufficient leave balance for Leave Type {0},رصيد إجازات غير كافٍ لنوع الإجازة {0}
Insufficient Permission for {0},عدم كفاية الإذن {0}
Insufficient Permission Level for {0},مستوى الإذن غير كافٍ لـ {0}
Insufficient Permissions,أذونات غير كافية
Insufficient Permissions for deleting Report,أذونات غير كافية لحذف التقرير
Insufficient Permissions for editing Report,أذونات غير كافية لتحرير التقرير
Insufficient Stock,المالية غير كافية
Insufficient stock for {0},رصيد الصنف {0} غير كافٍ
Insufficient Stock for Batch,مخزون غير كافٍ للدفعة
Insufficient Stock for Product Bundle Items,Insufficient Stock for Product Bundle Items
Insufficient Stock for Product Bundle Items,Insufficient Stock for Product Bundle Items
Insurance,التأمين
Insurance Company,تفاصيل التأمين
Insurance details,Insurance details
Insurance details,تفاصيل التأمين
Insurance Details,تفاصيل التأمين
Insurance End Date,تاريخ انتهاء التأمين
Insurance Start Date,تاريخ بداية التأمين
Insurance Start date should be less than Insurance End date,يجب أن يكون تاريخ بداية التأمين قبل  تاريخ نهاية التأمين
Insured value,قيمة المؤمن
Insurer,شركة التأمين
Int,الباحث
Integrated Tax,ضريبة متكاملة
Integration Details,تفاصيل التكامل
Integration ID,معرف التكامل
Integration Request,التكامل طلب
Integrations,التكاملات
Integrations can use this field to set email delivery status,يمكن التكامل استخدام هذا الحقل لتغيير الحالة تسليم البريد الإلكتروني
Inter,Inter
Inter Company Account,حساب الشركة المشترك
Inter Company Invoice Reference,الشركة المشتركة للفاتورة
Inter Company Journal Entry,الدخول المشترك بين الشركة
Inter Company Journal Entry Reference,مرجع قيد اليومية المتبادل بين الشركات
Inter Company Order Reference,مرجع طلب شركة Inter
Inter Company Purchase Order,Inter Company Purchase Order
Inter Company Purchase Order,Inter Company Purchase Order
Inter Company Reference,بين شركة مرجع
Inter Company Sales Order,Inter Company Sales Order
Inter Company Sales Order,Inter Company Sales Order
Inter Transfer Reference,مرجع التحويل الداخلي
Inter Warehouse Transfer Settings,إعدادات نقل المستودعات الداخلية
Inter-State Supplies,اللوازم بين الدول
Interest,فائدة
Interest Amount,مبلغ الفائدة
Interest and/or dunning fee,الفائدة و/أو رسوم المطالبة
